Parent_age,Parent_Gender,Child_Age,Child_Gender,Number_of_Children,Family_members,Parental_Attachment,Parenting_Approach,Comfort_Expressing_Emotions,Response_to_Needs,Relationship_with_child,Behavioral_Problems,Interaction_with_Others,Academic_Performance,Education_Level,Both_parents_working_full_time,Employment_Status,Bonding_activities_with_child,Affected_Relationship_with_child
40,Male,20,Male,2,4,Secure,Warm and responsive,Yes,Prompt and supportive,Excellent,No,Very well,Above average,Bachelor's degree,No,Employed full-time,Several times a week,No
58,Male,24,Male,3,5,Secure,Warm and responsive,Sometimes,Prompt and supportive,Excellent,Sometimes,Very well,Above average,Master's degree or higher,Yes,Employed full-time,Daily,Yes
45,Male,21,Male,2,4,Secure,Warm and responsive,Yes,Prompt and supportive,Excellent,Yes,Very well,Above average,High school or equivalent,Yes,Employed full-time,Daily,Yes
45,Male,18,Male,3,5,Secure,cool and Descent,Yes,Prompt and supportive,Excellent,Sometimes,Very well,Above average,High school or equivalent,No,Employed part-time,Several times a week,No
37,Female,17,Male,2,4,Secure,Warm and responsive,Sometimes,Prompt and supportive,Excellent,No,Very well,Above average,High school or equivalent,No,Homemaker,Daily,No
37,Female,14,Female,2,4,Secure,Warm and responsive,Sometimes,Prompt and supportive,Excellent,No,Very well,Above average,High school or equivalent,No,Homemaker,Daily,No
55,Male,23,Male,2,4,Secure,Warm and responsive,Yes,Prompt and supportive,Good,Sometimes,Very well,Average,Master's degree or higher,No,Employed full-time,Occasionally,No
40,Female,24,Female,2,4,Secure,Warm and responsive,Yes,Prompt and supportive,Good,Sometimes,Moderately well,Average,Master's degree or higher,No,Homemaker,Several times a week,No
60,Male,23,Male,1,3,Avoidant,Warm and responsive,Yes,Prompt and supportive,Good,Yes,Very well,Average,Bachelor's degree,No,Employed full-time,Occasionally,Yes
35,Male,3,Male,1,3,Freely,cool and Descent,Yes,Prompt and supportive,Good,No,Moderately well,Average,Master's degree or higher,No,Employed full-time,Daily,No
41,Male,17,Male,2,4,Secure,Warm and responsive,Yes,Prompt and supportive,Good,No,Moderately well,Above average,High school or equivalent,No,Employed full-time,Occasionally,No
45,Male,17,Male,1,3,Secure,Possessive,Yes,Prompt and supportive,Good,No,Very well,Above average,High school or equivalent,Yes,Employed full-time,Occasionally,No
